name,sellingDate,size,resellPrice
"Tuesday, October 17, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$566,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$570,adidas Yeezy Boost 350 V2 Zebra,14
"Tuesday, October 17, 2017",$621,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$620,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$590,adidas Yeezy Boost 350 V2 Zebra,7.5
"Tuesday, October 17, 2017",$609,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$517,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$700,adidas Yeezy Boost 350 V2 Zebra,13
"Tuesday, October 17, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,4
"Tuesday, October 17, 2017",$561,adidas Yeezy Boost 350 V2 Zebra,8.5
"Tuesday, October 17, 2017",$515,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$570,adidas Yeezy Boost 350 V2 Zebra,4
"Tuesday, October 17, 2017",$588,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$650,adidas Yeezy Boost 350 V2 Zebra,13
"Tuesday, October 17, 2017",$599,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$598,adidas Yeezy Boost 350 V2 Zebra,9.5
"Tuesday, October 17, 2017",$570,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,13
"Tuesday, October 17, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,9
"Tuesday, October 17, 2017",$661,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$625,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$677,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$660,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$635,adidas Yeezy Boost 350 V2 Zebra,10.5
"Tuesday, October 17, 2017",$705,adidas Yeezy Boost 350 V2 Zebra,5
"Tuesday, October 17, 2017",$646,adidas Yeezy Boost 350 V2 Zebra,11
"Tuesday, October 17, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,10
"Tuesday, October 17, 2017",$665,adidas Yeezy Boost 350 V2 Zebra,12
"Tuesday, October 17, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,8
"Tuesday, October 17, 2017",$556,adidas Yeezy Boost 350 V2 Zebra,8.5
"Tuesday, October 17, 2017",$709,adidas Yeezy Boost 350 V2 Zebra,4.5
"Tuesday, October 17, 2017",$630,adidas Yeezy Boost 350 V2 Zebra,10
