"","name","size","resellPrice","sellDate","day","date","sellMonth"
"53","adidas Yeezy Boost 350 V2 Zebra",8,514,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"54","adidas Yeezy Boost 350 V2 Zebra",10,620,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"55","adidas Yeezy Boost 350 V2 Zebra",6,750,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"56","adidas Yeezy Boost 350 V2 Zebra",9.5,575,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"57","adidas Yeezy Boost 350 V2 Zebra",9.5,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"58","adidas Yeezy Boost 350 V2 Zebra",9,566,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"59","adidas Yeezy Boost 350 V2 Zebra",10.5,599,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"60","adidas Yeezy Boost 350 V2 Zebra",10,590,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"61","adidas Yeezy Boost 350 V2 Zebra",8,524,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"62","adidas Yeezy Boost 350 V2 Zebra",11,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"63","adidas Yeezy Boost 350 V2 Zebra",11,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"64","adidas Yeezy Boost 350 V2 Zebra",8,535,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"65","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"66","adidas Yeezy Boost 350 V2 Zebra",11,634,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"67","adidas Yeezy Boost 350 V2 Zebra",8.5,569,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"68","adidas Yeezy Boost 350 V2 Zebra",12,635,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"69","adidas Yeezy Boost 350 V2 Zebra",7,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"70","adidas Yeezy Boost 350 V2 Zebra",8,527,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
"71","adidas Yeezy Boost 350 V2 Zebra",6.5,620,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017"
