"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"34","adidas Yeezy Boost 350 V2 Zebra",11.5,622,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.82727272727273
"35","adidas Yeezy Boost 350 V2 Zebra",8.5,580,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.63636363636364
"36","adidas Yeezy Boost 350 V2 Zebra",13,642,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.91818181818182
"37","adidas Yeezy Boost 350 V2 Zebra",12,601,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.73181818181818
"38","adidas Yeezy Boost 350 V2 Zebra",13,607,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.75909090909091
"39","adidas Yeezy Boost 350 V2 Zebra",9.5,565,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.56818181818182
"40","adidas Yeezy Boost 350 V2 Zebra",10.5,600,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.72727272727273
"41","adidas Yeezy Boost 350 V2 Zebra",10.5,584,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65454545454545
"42","adidas Yeezy Boost 350 V2 Zebra",7,595,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.70454545454545
"43","adidas Yeezy Boost 350 V2 Zebra",9,550,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.5
